statement,emotion
Reminiscing and talking about how sad it is being seniors when ironically Graduation comes on at Roadhouse Pub  ,sadness
Ik ga slapen want ik ben moe en ik heb morgen zeker wel nachtdienst gn,surprise
But he was confronted by an ecstatic welcome from his mother  who was waiting for him on the doorstep  ,joy
The OfficialPWG pictures will be up tomorrow Will try not to flood my timeline but it wont happen,fear
Noone could have told from his face that he was absolutely livid with Sukey  but he didnt want a row  which would upset Daisy and gee Perdita up before the interview  ,anger
Went into the woods for a photo shoot and I got burs all over my Dior Homme scarf I am pissed NatureIsSatansChurch DiorHomme,anger
Going to attempt to learn how to swimGotta tackle this fear somehow keyword    ,fear
My mom leaving out for work me in the hse by myself ,fear
When I was a child I had a grassparakeet I liked very much His legs were crippled so that he could not move very fast Once I came into the room did not notice him and stepped on him A few days later he died,sadness
Going to the mall with Jake to do some Christmas shopping ,joy
quotWhen we were children wed play in the streets just dipped in fateWish I didnt know the meaning ofquot OneRepublic,fear
Seeing the Iphone 4S advert and wanting it Way out of my budget ,sadness
Aussi bizarre que cela puisse paraitre les stats facebook indiquent que nous avons 85 de femmes sur la page du  ,surprise
Research project presentation all day Whyd I pick Monday ,joy
Police became increasingly concerned for their prisoner s health over the weekend  ,fear
DenisDonovan lmfao no im staying in a normal hotel We get a tour of an amish village tmrw ,joy
I was extremely indignant  ,anger
Listening to Christmas music while decorating the tree with the girl ,joy
These are not emotions They are simply irrational thoughts feeding off of an emotion ,fear
My calendar is packed with events that celebrate the dopeness of people I know ,joy
 That sounds like a good idea  Ill have to try that  ,joy
 I turned on my laptop and it broke  I mean  the monitor went black  ,fear
I love when I try to talk with someone from my past and theyre all like quotWTF I dont wanna talk with you GTFO gtOquot   ,joy
The time I was threatened with expulsion from secondary school form four,fear
 Not bad  ,neutral
headed to meridian to watch dad race goingtofreeze,joy
ugh  da  skool in da KPS system 1 mo day till break amp im out dat thanq ,joy
so mad at ECruse23 for not making my cd  ,sadness
When I passed my MSCE Exams and was selected to go to college,joy
Damn I wish Saints Row 2 had a greaser gang ,sadness
 exactly  ,neutral
ohno I left the cheesecake at the barn nocheesecakeforme,sadness
The alarmed Hungarians initially kept this threat to themselves  but have since raised the issue in private both within the Warsaw Pact and with certain Western governments  ,fear
Basically I just wanna hibernate till next saturday but seeing as I cant tomorrow morning will just have to do,sadness
 just tweeted tupac lines reminded me how my step dad calls me tupac  ,joy
that awkward moment in when mark wahlberg stares angrily and punches his chest,fear
miklustic physics was the death of my first year ,sadness
My mother told me that I could not go to the mountains  Despite my age as long as I am in her house I must do what she says,anger
When I heard a lion roar for the first time,fear
The best part of my Twitter feed is the updates on Gods Justice being brought about in the world IJMHQ dosomethingnow EurasiaCafe ,joy
A gang of local ruffians was passing by and  when they saw what was happening  became infuriated against Richard Baxter  ,anger
Good dinner on the National Day,joy
Shackel became indignant and said he would fetch a magistrate and complain about the Chief Constable s attitude  which he did  ,anger
When my sister was very ill and was admitted to the hospital,fear
Labour supporters must be in despair at not being able to race away from the Tories in the run up to the election  ,sadness
Looks like Ill be stranded at the airport once I land in Newark ,joy
When I was feeding a premature baby 7 months the baby chocked This was when I was working in childrens ward I thought I had killed the baby,fear
In the thirtieth minute  Gary Weaving scored what looked like a perfectly good goal  only for the linesman to rule it out for offside  to everyone s dismay  ,fear
WHAT THE FUCKINGGGGGGGGG FUCKK xfactor is racist and stupid And fixed ChucksMic,anger
Glemanski unfortunately no too long of a drive for just the day ,sadness
caramorris its not been too bad but I think walking all day hasnt helped so its now throbbing amp swollen amp Ive got work tomorrow ,joy
RevRunWisdom not afraid of tomorrow for I have seen yesterday and I love today less,fear
finally home  tired AF thee sinks in I cant sleep with my baby tonight,sadness
karenstivali I will try it its been a while since it happened this is the first time i could tolerate touching the keyboard ,sadness
I hear factor is back on the air,fear
So long November you have been the worst month ever Hello December   ,joy
And of course the psycho bitch is in my life ONCE AGAIN ,joy
Beckett  Demming kiss and Castle is just broken about it castlebeckettOTP,sadness
The Sunday before finals I bet the library is packed Butttt Im going anyway  ,joy
I had a very pleasant conversation with one of my friends,joy
My friend not allowed to go to the English lectures,sadness
 What  s wrong  I want a break from this horrible job  ,anger
i feel so comfortable and so great these are the chillest people in the world cant wait to be part of the familylt3 ,joy
Thank you FATHER for a beautiful sunny Sunday morning  happiness love,joy
My Friend is on todays Factor anyone know how I can watch it in the UK,fear
 Curse the worst oven in the world  ,anger
 Hey  I worked hard on that report and I deserve the grade I got  ,anger
Stopped today for gas in a small town to my an attendant came to tell me quotwe are full service Do you young tweeters have a clue,surprise
Planning events to give people in need Christmas gifts ,joy
 It s inconceivable  I agree   responded Howard  waving a wellmanicured hand  his plump face pink with embarrassment at the directness of Newman  ,shame
Taking a subway today ,joy
 Did you have a good day at the office   she asked  hearing herself with horror  ,fear
I found a idea whichd require me to draw 24 different pictures in the next few days D Oh boy thatll be fun  ,surprise
When colliding with my car I myself was to blame,anger
One of my favorite things to hear is Giavauna 1yo humming in her bed after waking up from nap time  glolod fb,joy
The law said nothing about duels between species which were not considered to be human  although that did not prevent an offended party from seeking recourse  ,anger
The steelers are such a dirty team  and their QB is a rapist ,disgust
I love love love cooking ,joy
Because of a conflict with my parents there was a possibility to interrupt my studies,fear
 Oh  yeah  ,neutral
 Almost  ,neutral
is a reaction Courage is a decision,fear
 Oh  I hate having teeth pulled out  Will it hurt  ,fear
quotAhh Mr Vincentyour case has caused a lot of problemsquot thanks knee consultant Now have to have an MRI  potential surgery,joy
